id,assistant_id,name,description,created_at,active,phone,payment_status,summary_time,niche,expectation,subject,link,updated_at
98,asst_WZIK8ZnOIae3xRRTqQv5qkMv,Mulheres do SEO 🌎,"Um espaço para mulheres trocarem experiências, dicas e apoio sobre SEO, promovendo um ambiente de aprendizado e colaboração.",2025-04-03 21:47:30.482746+00,t,120363381892002792-group,CANCELED,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
291,asst_wSjsvffIJcZPUME6E99vesSR,Pileco Muquiranis e Perdularis,"Um grupo caracterizado pela interação dinâmica e bem-humorada entre seus membros, onde predominam trocas de mensagens informais, piadas e reações emoji. A abordagem dos membros é calorosa, com boas-vindas a novos integrantes e discussões que misturam assuntos pessoais e temas atuais, com um tom leve e descontraído. Conversas frequentemente incluem referências a interesses comuns e brincadeiras sobre reações e comportamentos dos participantes.",2025-08-14 23:34:49.683864+00,t,556184088564-1495221374,PARNER,19,Espiritualidade e Propósito de Vida,Resumir o que foi falado,Grupo de amigos,https://chat.whatsapp.com/DaJj05C1sieGxvcI7d4Pdj?mode=ac_t,2025-08-19 16:21:09.994802+00
290,asst_byh0mIjximEmQHaJTTmJTivz,Eu Levo | Hub Tático,"""Grupo focado em estratégias de marketing digital, rastreamento de conversões e otimização de campanhas. Os membros discutem requisitos técnicos, melhorias em sistemas de atendimento, integração de dados no Google Ads e BigQuery, e compartilham relatórios e resultados, visando aumentar a eficiência das operações.""",2025-08-14 01:58:49.601841+00,t,120363419499361913-group,PARTNER,20,"Trata-se de um grupo reunindo a operação, o marketing e área de tecnologia",Resumir o que foi falado,Falamos sobre nossa própria empresa,https://chat.whatsapp.com/F4YUl8uJD7p2g7B4WTLoz7,2025-08-19 16:21:09.994802+00
187,asst_WPqybaOy3IMPH1lJdu5iS7t8,MAKE EM FOCO,"Um espaço de colaboração entre profissionais da beleza para trocar informações, estratégias de vendas, e oportunidades de negócios, visando o crescimento e a consolidação no mercado.",2025-04-30 14:28:40.285335+00,t,120363025513527780-group,TRIAL,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
264,asst_elYSM2EPHRA808lh2eQbRkhy,CS1 - Dúvidas,"Um grupo destinado a esclarecer dúvidas e gerenciar contratos e chamadas agendadas, promovendo a colaboração e suporte entre membros da equipe de vendas.",2025-08-04 19:02:47.570938+00,t,120363405847699903-group,PAARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
176,asst_FgbKRT4GUBZ9Ih90m0Y3OCYR,Linkedin na Prática,\N,2025-04-22 16:29:05.210655+00,t,120363231508455800-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
257,asst_Yuxp7GVM0spspzZg42DjpmNR,Mogauma Comunidade,"Um grupo onde membros compartilham imagens e informações, além de registrar a entrada e saída de participantes.",2025-07-29 22:56:45.946858+00,t,556181220615-1508083677,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
155,asst_eoXs6tL9fXsbthJlsIioToZA,Arrematador - JUDICIAL,"Um grupo voltado para discutir estratégias de arrematação judicial, tirar dúvidas sobre processos, compartilhar experiências e informações relevantes sobre leilões de imóveis e questões legais associadas.",2025-04-13 04:08:37.74258+00,t,120363399379588784-group,PAID,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
292,asst_GaZDoxXxijBhHvvUGJ7LMK2L,HUB SÃO PAULO 5G Company,"""Um grupo focado em discutir atualizações, compartilhar resumos e coordenar ações relacionadas ao desenvolvimento e implementação da tecnologia 5G em São Paulo.""",2025-08-17 10:27:12.671869+00,t,120363420354860906-group,TRIAL,19,"Marketing, Vendas e Negócios Digitais",Resumir o que foi falado,"É um HUb de empresários da Saúde. Médicos, Dentistas, Donos de Clínicas ou Consultórios. Marcamos eventos, realizamos inscrições, e levamos conteúdo de gestão, vendas, marketing, pessoas ",https://chat.whatsapp.com/JDQwzIf99iUJs88ZiV9jtl,2025-08-19 16:21:09.994802+00
74,asst_zoutv2t7HhrLKVLVDWrkLspl,MOAI | Networking Gourmet,"Um espaço para promover networking entre empresários e profissionais, com encontros semanais que combinam boa comida e troca de experiências.",2025-04-03 19:06:37.337198+00,t,120363294624724412-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
288,asst_sQtLUL7VoZnxFgtj5wIBtvPi,Família Orquídea Freire🌾,Um espaço para a família compartilhar momentos e imagens significativas.,2025-08-09 14:15:20.223308+00,t,556199728782-1378499716,TRIAL,19,Grupo da família ,Resumir o que foi falado,Assuntos familiares,https://chat.whatsapp.com/D52lGkvUtPq0yzBjkIhQP3?mode=ac_t,2025-08-19 16:21:09.994802+00
91,asst_JiRMAvSOfmPbKnczqsXH7DIx,Lithothamnium,"Um grupo nacional de estudos e trocas de informações técnicas sobre o Lithothamnium, destinado a especialistas e profissionais da área, com foco exclusivo no uso do produto sem associações comerciais.",2025-04-03 20:45:26.886913+00,t,120363406234544229-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
213,asst_7Jp4PAY8AjHWPB0sYzQz4JXM,DFAR - Moradores 2,"Um grupo destinado a moradores de Arniqueira para trocar informações sobre segurança, eventos, serviços locais e questões de infraestrutura na região.",2025-05-16 20:59:46.087505+00,t,120363406656986681-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
211,asst_MkzZjrDnUURQc7qYI39rLQ09,DFVP - Moradores 5,"Um grupo voltado para a comunicação e troca de informações entre moradores de Vicente Pires, abordando questões locais, como serviços, segurança e problemas de infraestrutura.",2025-05-16 20:58:53.840034+00,t,120363371154581640-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
265,asst_mQrtkzzvZlT8nqR32jZQER1g,MAGNUS LANÇAMENTOS🚀 - 2025 É TUDO NOSSO!,"Um grupo voltado para a troca de informações e estratégias relacionadas a lançamentos esperados para 2025, com um tom otimista e de conquista.",2025-08-05 05:42:38.57854+00,t,120363029551318365-group,TRIAL,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
256,asst_vYEXnVxDVk1oERSQtJnOYhDK,Bunker B2Mamy - Clevels  was,"Um espaço colaborativo onde membros compartilham experiências, dicas e recursos sobre empreendedorismo, tecnologia e desenvolvimento pessoal, promovendo a conexão e o apoio mútuo entre mulheres.",2025-07-24 15:53:34.453907+00,t,5511986444619-1486079626,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
231,asst_Zk6HaH7cKxOccnJarXt9Nhax,Creator Economy em Cannes,"Um grupo voltado para a interação e troca de experiências entre criadores na economia digital durante o evento de Cannes, promovendo discussões sobre tendências, festas e networking.",2025-06-17 18:24:55.657967+00,t,120363288736887111-group,TRIAL,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
196,asst_QWuXeJNMlj3zP37IzDd9DLiA,HUB-A LIGA EMPRESARIAL,"Um grupo voltado ao compartilhamento de conteúdos audiovisuais e documentos relacionados a temas empresariais e profissionais, promovendo interação e troca de informações entre os membros.",2025-05-05 02:07:23.33364+00,t,120363402554525862-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
168,asst_YucPwCPq1yM5lsvjRBKWBQxG,Agência Desdobre,Um grupo focado em compartilhar links úteis e informações relacionadas a marketing e ferramentas digitais.,2025-04-15 18:30:42.279479+00,t,120363304642287304-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
212,asst_QeCukXKJKDYpjxGtxabVBlct,DFVP - Moradores 6,"Um grupo voltado para troca de informações e apoio entre moradores de Vicente Pires, incluindo discussões sobre pets desaparecidos, recomendações de serviços locais e questões da comunidade.",2025-05-16 20:59:21.069829+00,t,120363386941784190-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
232,asst_rrIb9C2TVmRlqw0SWCR5vz65,🔥 Bóris - Testes,\N,2025-06-17 23:14:13.641284+00,f,120363338458942788-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
127,asst_2BhdmPRVccsQiuIiKitifgCK,Kite Pilequis 04/10 a 18/10,"Um grupo voltado para a organização de uma viagem de kite surf ao Ceará, onde os membros discutem destinos, logística, e compartilham experiências e sugestões de locais para aproveitar a prática e a convivência entre amigos.",2025-04-05 21:28:20.279029+00,t,120363202186847476-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
153,asst_hAvKfejskbTwi1Vb7SFKhA70,Inteligência Artificial | Network📱,"Um grupo voltado para a troca de conhecimentos sobre Inteligência Artificial, compartilhamento de cursos, ferramentas e experiências práticas na área.",2025-04-11 23:56:14.605206+00,t,120363365894871323-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
293,asst_BYdU36DqN4MUvREPPkIV4z0m,HUB 5G Company ,\N,2025-08-17 10:28:34.308407+00,t,120363396835787149-group,TRIAL,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
289,asst_3N1EstPw9xDvfaSIqe19fOnz,IA com propósito,"Um grupo voltado para a troca de experiências e aprendizagem sobre o uso de inteligência artificial em diversas áreas, incentivando o engajamento e a colaboração entre os membros.",2025-08-11 10:00:14.439625+00,t,120363401924636332-group,PARTNER,19,Desenvolvimento Pessoal e Profissional,Resumir o que foi falado,"É um grupo sobre Inteligência Artificial, que o propósito é compartilhar novidades, experiências, cursos, worlshops e estimular a conexão entre outras pessoas",https://chat.whatsapp.com/FVwSUdW6rDI3nSO4IEpZzf,2025-08-19 16:21:09.994802+00
266,asst_jisg16xkFGUFOt8n1YhfCbnI,"Fortaleza, aí vamos nós!🥳🏖️⛱️🎢✈️",Um grupo destinado à realização de viagens e compartilhamento de experiências relacionadas a Fortaleza.,2025-08-05 06:04:02.167235+00,t,120363031674838859-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
258,asst_QR0jF0bRZlhhUmUWnxkvjRIC,Mogauma Comunidade,"Um grupo onde os membros se interagem sobre a comunidade Mogauma, com trocas de informações e atualizações.",2025-07-29 22:56:47.492343+00,t,120363090647528619-group,COMMUNITY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
197,asst_7vHp3xbuSOgBIcw5iuVVyEhl,Furcata,\N,2025-05-05 13:36:34.477496+00,t,120363376079307480-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
45,asst_HTcXMIlpXNRr8TDYqtRKCsmt,Comunidade Magnetic Flows,"Um grupo destinado ao compartilhamento de informações, novidades e suporte sobre automação de marketing e ferramentas de marketing digital, promovendo colaboração entre os membros.",2025-04-03 16:51:12.970711+00,t,120363265930170629-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
116,asst_3eqDsAf9dWTwEy9GodRDCMZ6,Casados / Avulsos / Kids,"Um grupo de conversas descontraídas onde membros compartilham experiências sobre relacionamentos e paternidade, frequentemente com humor e provocações.",2025-04-04 17:06:58.077963+00,t,5511976645090-1454171629,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
131,asst_6z3XDvriYQGsJOY2DzsDNl5k,Catapulta Digital,"Um grupo voltado para a gestão financeira e trocas de informações relacionadas a contas, documentos e recursos digitais entre os membros.",2025-04-07 11:10:56.650971+00,t,120363203009092719-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
199,asst_NGolcuwGYJaO7P7wMl5YJmbs,Portaria Villa manah,"Um grupo voltado para a comunicação da portaria do condomínio Villa Manah, onde são registrados entradas e saídas de moradores, funcionários e visitantes, além de informações sobre pagamentos e manutenções.",2025-05-06 12:52:39.782355+00,t,120363321488125348-group,PARTNER,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
233,asst_Rbaz7Y6Vxb7VDYAypdkegRNt,Testeboris1234,\N,2025-06-17 23:14:13.763246+00,f,120363320765570931-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
151,asst_KWy76sv9IDOz3FRJYpfdwIhZ,ACESSO TOTAL - Alunos,"Um espaço para alunos trocarem conhecimentos, esclarecerem dúvidas sobre contabilidade e tributação, e acessarem conteúdos e aulas ao vivo relacionados à Escrituração Contábil Digital (ECD).",2025-04-11 14:53:48.434053+00,t,120363358790503492-group,PAID,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
174,asst_rfDdaKf91FEyQyaqsAfJpOVr,𝐶𝐴𝑅𝑅𝑂𝑆 𝐸 𝑀𝑂𝑇𝑂𝑆 ⁰¹,"Um grupo onde os membros saem sem interações significativas, indicando pouca atividade ou engajamento.",2025-04-20 13:27:21.038582+00,t,120363161484049938-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
189,asst_Cc4eW1hxlWKIylHmXanEBQUC,DFAC - Melhorias no Trânsito,"Um grupo voltado para a discussão e proposição de melhorias no trânsito de Águas Claras, buscando soluções efetivas e viáveis para os principais gargalos da região.",2025-04-30 17:15:46.407129+00,t,120363401885059063-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
143,asst_igDl7sNJP3Fjw5GL8LktY6Qm,Mentoria Contador Tributarista,"Um espaço para contadores e profissionais da área tributária trocarem experiências, esclarecerem dúvidas e discutirem temas relacionados à prática contábil e tributária.",2025-04-10 17:20:30.115246+00,t,120363297125869372-group,PAID,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
198,asst_JLECY848JGkPAGpvrqD5itPO,Portaria Essence Tatuamunha,"Um grupo voltado para a gestão e manutenção do condomínio Portaria Essence Tatuamunha, onde são discutidos assuntos como a reposição de equipamentos, ajustes necessários e coordenação de serviços para os moradores.",2025-05-06 12:49:57.721736+00,t,120363194890757033-group,PARTNER,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
110,asst_htDSqoyBoX7aETOP9Gb9i6ZS,para se ajudar no Instagram 👍 🥋para repostar o vídeo do próximo nos stories🥋,Um grupo criado para auxiliar na promoção e repostagem de vídeos no Instagram entre os membros.,2025-04-04 13:22:33.352488+00,t,120363289762313598-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
214,asst_UQuKQjNK8uYihwfYlHjbAcMH,🎣🦈COCALINHO de GIGANTES🦈🎣,"Um grupo voltado para a troca de experiências, dicas e conteúdo sobre pesca, onde membros compartilham imagens, vídeos e interagem sobre suas aventuras e equipamentos relacionados.",2025-05-17 13:48:05.605491+00,t,556284614591-1527467589,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
12,asst_rQuJGYj3aFW9X4in6PyuldAn,NETWORK ⚫,"Um espaço para profissionais de design trocarem experiências, dicas e oportunidades de trabalho, com ênfase no desenvolvimento de métodos sustentáveis e criação de redes de conexão.",2025-04-03 16:06:25.769771+00,t,120363386990499749-group,TRIAL,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
259,asst_Z0gDfieXhiILdI4QGAASmAP2,Illuminantes,"Um grupo voltado para a troca de experiências e o apoio mútuo entre amigos, com ênfase em cinema, eventos culturais e confraternizações.",2025-07-29 23:00:20.082436+00,t,556192672882-1385304885,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
280,asst_PKMrTCwiJmyQ3rhiZnCx2WG4,Mentoria ALA,"Um grupo voltado para a mentoria e troca de experiências práticas sobre desenvolvimento profissional e estratégias de marketing, com ênfase no apoio mútuo entre os membros.",2025-08-08 16:28:47.27117+00,t,120363400077472484-group,PAID,22,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
81,asst_nXKXIyuOBbkCPIM2Hv4rcVWI,Vibe Session,"Um grupo voltado para compartilhar músicas, vídeos e informações sobre sessões de DJ, promovendo interação e entusiasmo entre amigos apaixonados por música e festas.",2025-04-03 19:40:16.270471+00,t,5511959286994-1599340529,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
215,asst_POam6NuDKl8Gmoisa8kqu72e,🏆 Desafio Master Grower - em Clãs,\N,2025-05-17 16:04:08.920891+00,t,120363375530496811-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
234,asst_YUdrsjMN40DyuU2AfiAn5vFW,Viagem Fortaleza,\N,2025-06-17 23:14:13.98148+00,f,120363321832220356-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
190,asst_sXF9SV4ctH9o81tqLQULe94T,Força Invicta Veteranos,"Um grupo de veteranos que discute questões políticas e sociais atuais, expressando preocupações sobre a situação econômica e governamental do Brasil, com ênfase na defesa da democracia e críticas direcionadas a figuras políticas.",2025-04-30 20:06:17.850485+00,t,557199393366-1484845780,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
173,asst_zqf1GhZ07wd6CyVRNtv27DYb,ᗪᗩᖇK SᕼITIS,"Um grupo que parece estar em processo de desmobilização, com membros saindo frequentemente.",2025-04-20 10:35:37.953545+00,t,120363042231701052-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
169,asst_uF5KF3jg60lgPgvxB6Z0xa82,Melhor Garante,Um grupo criado para resolver questões relacionadas à remoção de contatos indesejados em uma conversa no WhatsApp.,2025-04-15 23:40:06.95291+00,t,120363183689342087-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
202,asst_j2GoO8sMmO44nDHBi6v7f8A1,ADM NALUUM Thaynara 01/10/24 a 01/10/25,"Um grupo voltado à coordenação e acompanhamento de compras, pagamentos e logística relacionadas ao condomínio Naluum, facilitando a comunicação entre os membros sobre necessidades urgentes e orçamentos.",2025-05-06 13:29:46.472714+00,t,120363306650663582-group,PARTNER,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
175,asst_J1JdrI4f4gFMFHt3ktaSmSqc,Taverna do Lascombe 🏰,\N,2025-04-21 15:25:49.978339+00,t,120363225180205868-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
63,asst_Wea0RxxCqihcacWhNYYIdLPV,A LIGA EMPRESARIAL ,Um espaço colaborativo onde empresários buscam estratégias práticas e apoio mútuo para escalar seus negócios e alcançar resultados extraordinários.,2025-04-03 17:26:24.001985+00,t,120363215775113115-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
76,asst_J5jKihYeiUrOKR5mBpKrcbb9,Tmj ⭐vagas de emprego ,Grupo dedicado à divulgação de vagas de emprego e oportunidades de trabalho em diversas áreas.,2025-04-03 19:12:58.748891+00,t,120363360983782639-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
268,asst_ClOIag1XdUsMNVM0Ri9w5Aee,Time Izadora | 🚀📱,"Um grupo voltado para a criação e desenvolvimento de conteúdos relacionados à formação de corretores no mercado imobiliário, com discussões sobre roteiros, estratégias de convite e organização de eventos.",2025-08-05 19:16:04.033354+00,t,120363183363569331-group,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
260,asst_l9QDJSc7w0TtXVpJXidF1mX1,SVB Brasília - Divulgação Geral - Grupo Aberto à Comunidade 💚,"Um grupo aberto à comunidade para a promoção de um estilo de vida vegano e discussão de temas relacionados à saúde, preservação ambiental e ações sociais em Brasília.",2025-07-29 23:02:35.629345+00,t,120363117506475841-group,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
97,asst_PsYIDREiXrlGSxYYawuJ0efj,Discussão rica | Enquetes ✨,"Um grupo voltado para a troca de conhecimentos sobre SEO e ferramentas relacionadas, promovendo enquetes para identificar interesses e níveis de conhecimento dos membros.",2025-04-03 21:47:24.738827+00,t,120363362274160029-group,CANCELED,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
261,asst_4JNlveEuIeEcI6AolcpMCFeL,CJE-DF,"Um grupo voltado para a celebração de aniversários e demonstração de carinho entre amigos, reforçando laços de amizade e apoio emocional.",2025-07-29 23:06:10.488555+00,t,556199835759-1490126688,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
216,asst_KJjJvgXRNdTUc01cO3iZzPIc,UGC HUB – Conexão & Crescimento,\N,2025-05-18 03:35:20.19496+00,t,120363394411896110-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
136,asst_FHNZoTTNmVFkzGZf0UyNEHVV,Comunidade Wishme,"Um grupo onde os membros se reúnem para trocar experiências e informações, promovendo a colaboração e o suporte mútuo.",2025-04-08 17:05:26.26789+00,t,120363303659495987-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
201,asst_hDSgMORPQUd8zaOdDZOL9eEt,Premiatto - MORADORES,Um grupo destinado à comunicação entre os moradores do Premiatto para informações e atualizações relevantes.,2025-05-06 13:28:15.608974+00,t,558288031732-1627907773,PARTNER,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
235,asst_OtkCcEogLMIiirpAnp1uK0rB,Hiago,Um grupo onde Hiago compartilha listas de compras e consulta Boris sobre suas capacidades de ajuda.,2025-06-21 23:04:36.953639+00,t,120363416109484819-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
177,asst_neGeDUfWZ6hSNZPcopixVFtn,Projeto Cecília Rocha,"Um grupo focado na organização e promoção do projeto musical de Cecília Rocha, envolvendo discussões sobre apresentações, estratégias de divulgação e conteúdos relacionados à música.",2025-04-22 17:47:48.868108+00,t,120363387586837280-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
53,asst_dafozF8yiY3D0Y6ZzX8G9Ddv,SEO | Girl Power,"Um grupo voltado para o empoderamento feminino na área de SEO, onde membros compartilham conhecimentos, cursos e experiências sobre otimização de sites e estratégias digitais.",2025-04-03 17:00:29.047499+00,t,5511965954789-1566219732,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
170,asst_UM2RSF5JAFAf8Q2UDBpQwv7n,2024 | Conselho Dudu,\N,2025-04-16 18:15:55.973476+00,t,120363211200750117-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
157,asst_Z9xo12SpYKptsQNLWolyrqod,"DICAS , HORÁRIOS & ESTRATÉGIAS 🎰 ","Um grupo voltado para a troca de dicas, horários e estratégias relacionadas a jogos de apostas.",2025-04-13 08:06:12.928891+00,t,120363285382346915-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
